,Unnamed: 0,Unnamed: 0.1,Recency (months),Frequency (times),Monetary (c.c. blood),Time (months),whether he/she donated blood in March 2007,whether he/she donated blood in March 2008,whether he/she donated blood in March 2009,Monetary after March 2007 (c.c. blood),Monetary in branch 2 (c.c. blood)
0,0,0,2,50,12500,98,1,1,1,12886,9125
1,1,1,0,13,3250,28,1,0,1,3608,1625
2,2,2,1,16,4000,35,1,1,0,4206,5800
3,3,3,2,20,5000,45,1,0,1,5228,7150
4,4,4,1,24,6000,77,0,1,0,6000,4500
5,5,5,4,4,1000,4,0,0,0,1000,500
6,6,6,2,7,1750,14,1,1,1,2091,2100
7,7,7,1,12,3000,35,0,0,1,3000,4440
8,8,8,2,9,2250,22,1,0,1,2713,2745
9,9,9,5,46,11500,98,1,0,0,11708,7245
10,10,10,4,23,5750,58,0,0,0,5750,7360
11,11,11,0,3,750,4,0,0,0,750,960
12,12,12,2,10,2500,28,1,0,1,2968,1475
13,13,13,1,13,3250,47,0,0,0,3250,4095
14,14,14,2,6,1500,15,1,1,1,1885,2010
15,15,15,2,5,1250,11,1,0,1,1614,1725
16,16,16,2,14,3500,48,1,1,0,3722,4270
17,17,17,2,15,3750,49,1,0,1,4242,2775
18,18,18,2,6,1500,15,1,1,0,1928,1965
19,19,19,2,3,750,4,1,1,0,1027,435
20,20,20,2,3,750,4,1,0,1,1237,382
21,21,21,4,11,2750,28,0,0,0,2750,1457
22,22,22,2,6,1500,16,1,1,0,1950,990
23,23,23,2,6,1500,16,1,1,1,1988,1095
24,24,24,9,9,2250,16,0,1,1,2250,3060
25,25,25,4,14,3500,40,0,1,0,3500,1925
26,26,26,4,6,1500,14,0,0,0,1500,825
27,27,27,4,12,3000,34,1,0,0,3493,3600
28,28,28,4,5,1250,11,1,0,0,1616,1612
29,29,29,4,8,2000,21,0,0,1,2000,1180
30,30,30,1,14,3500,58,0,1,1,3500,4725
31,31,31,4,10,2500,28,1,0,1,2824,3550
32,32,32,4,10,2500,28,1,0,1,2793,1700
33,33,33,4,9,2250,26,1,1,1,2734,1642
34,34,34,2,16,4000,64,0,0,1,4000,5320
35,35,35,2,8,2000,28,1,1,1,2329,1280
36,36,36,2,12,3000,47,1,0,1,3420,4200
37,37,37,4,6,1500,16,1,1,1,1824,2175
38,38,38,2,14,3500,57,1,0,1,3932,5005
39,39,39,4,7,1750,22,1,1,0,1993,945
40,40,40,2,13,3250,53,1,0,0,3552,4095
41,41,41,2,5,1250,16,0,0,1,1250,1800
42,42,42,2,5,1250,16,1,1,0,1516,650
43,43,43,2,5,1250,16,0,0,0,1250,1550
44,44,44,4,20,5000,69,1,0,1,5304,2650
45,45,45,4,9,2250,28,1,1,1,2725,1350
46,46,46,2,9,2250,36,0,0,0,2250,3015
47,47,47,2,2,500,2,0,0,1,500,650
48,48,48,2,2,500,2,0,0,0,500,640
49,49,49,2,2,500,2,0,1,1,500,750
50,50,50,2,11,2750,46,0,0,0,2750,1870
51,51,51,2,11,2750,46,1,0,0,3004,3327
52,52,52,2,6,1500,22,0,0,0,1500,2010
53,53,53,2,12,3000,52,0,1,1,3000,4020
54,54,54,4,5,1250,14,1,0,1,1624,1850
55,55,55,4,19,4750,69,1,0,0,5191,6602
56,56,56,4,8,2000,26,1,1,1,2345,1300
57,57,57,2,7,1750,28,1,0,1,1966,2205
58,58,58,2,16,4000,81,0,0,1,4000,2440
59,59,59,3,6,1500,21,0,1,1,1500,1185
60,60,60,2,7,1750,29,0,0,1,1750,997
61,61,61,2,8,2000,35,1,0,1,2453,1200
62,62,62,2,10,2500,49,0,0,0,2500,1625
63,63,63,4,5,1250,16,1,0,0,1610,1687
64,64,64,2,3,750,9,1,0,0,1189,1005
65,65,65,3,16,4000,74,0,1,0,4000,3120
66,66,66,2,4,1000,14,1,0,1,1448,720
67,67,67,0,2,500,4,0,1,1,500,640
68,68,68,4,7,1750,25,0,1,0,1750,2100
69,69,69,1,9,2250,51,0,0,1,2250,1575
70,70,70,2,4,1000,16,0,1,0,1000,1360
71,71,71,2,4,1000,16,0,1,1,1000,720
72,72,72,4,17,4250,71,1,0,1,4659,5227
73,73,73,2,2,500,4,0,1,0,500,315
74,74,74,2,2,500,4,1,1,0,907,275
75,75,75,2,2,500,4,1,0,0,974,270
76,76,76,2,4,1000,16,1,1,1,1298,1470
77,77,77,2,2,500,4,0,0,1,500,325
78,78,78,2,2,500,4,0,1,1,500,305
79,79,79,2,2,500,4,0,0,0,500,250
80,80,80,4,6,1500,23,1,1,1,1749,1890
81,81,81,2,4,1000,16,0,0,1,1000,1250
82,82,82,2,4,1000,16,0,0,0,1000,550
83,83,83,2,4,1000,16,0,0,1,1000,1300
84,84,84,2,6,1500,28,1,0,0,1732,2010
85,85,85,2,6,1500,28,0,1,1,1500,2025
86,86,86,4,2,500,4,0,0,0,500,320
87,87,87,4,2,500,4,0,0,0,500,640
88,88,88,4,2,500,4,0,0,1,500,250
89,89,89,2,7,1750,35,1,0,0,2101,1172
90,90,90,4,2,500,4,1,0,0,996,610
91,91,91,4,2,500,4,0,0,1,500,345
92,92,92,4,2,500,4,0,0,0,500,330
93,93,93,4,2,500,4,0,1,0,500,675
94,94,94,12,11,2750,23,0,0,1,2750,1705
95,95,95,4,7,1750,28,0,0,0,1750,2240
96,96,96,3,17,4250,86,0,1,0,4250,6332
97,97,97,4,9,2250,38,1,1,0,2598,3240
98,98,98,4,4,1000,14,1,1,0,1268,610
99,99,99,5,7,1750,26,1,1,1,2246,1295
100,100,100,4,8,2000,34,1,1,1,2445,2880
101,101,101,2,13,3250,76,1,0,0,3572,2015
102,102,102,4,9,2250,40,0,0,0,2250,1260
103,103,103,2,5,1250,26,0,0,1,1250,737
104,104,104,2,5,1250,26,0,0,1,1250,650
105,105,105,6,17,4250,70,0,1,0,4250,3230
106,106,106,0,8,2000,59,0,1,1,2000,2600
107,107,107,3,5,1250,26,0,1,1,1250,775
108,108,108,2,3,750,14,0,0,1,750,907
109,109,109,2,10,2500,64,0,0,1,2500,3425
110,110,110,4,5,1250,23,1,0,1,1731,675
111,111,111,4,9,2250,46,0,0,1,2250,1620
112,112,112,4,5,1250,23,0,1,0,1250,1587
113,113,113,4,8,2000,40,1,0,1,2250,2740
114,114,114,2,12,3000,82,0,0,1,3000,1590
115,115,115,11,24,6000,64,0,1,1,6000,7620
116,116,116,2,7,1750,46,1,1,0,2017,1155
117,117,117,4,11,2750,61,0,1,0,2750,3905
118,118,118,1,7,1750,57,0,1,1,1750,1137
119,119,119,2,11,2750,79,1,1,1,3212,2062
120,120,120,2,3,750,16,1,0,0,1077,585
121,121,121,4,5,1250,26,1,0,1,1545,1525
122,122,122,2,6,1500,41,1,1,1,1837,1065
123,123,123,2,5,1250,33,1,0,0,1616,1762
124,124,124,2,4,1000,26,0,1,0,1000,750
125,125,125,2,5,1250,34,0,1,1,1250,1637
126,126,126,4,8,2000,46,1,1,0,2430,2560
127,127,127,2,4,1000,26,0,1,0,1000,500
128,128,128,4,8,2000,48,1,0,1,2205,2520
129,129,129,2,2,500,10,1,1,1,747,700
130,130,130,4,5,1250,28,0,1,1,1250,1512
131,131,131,2,12,3000,95,0,1,0,3000,2160
132,132,132,2,2,500,10,0,1,0,500,725
133,133,133,4,6,1500,35,0,1,0,1500,900
134,134,134,2,11,2750,88,0,0,1,2750,1402
135,135,135,2,3,750,19,0,0,0,750,915
136,136,136,2,5,1250,37,0,0,0,1250,1625
137,137,137,2,12,3000,98,0,1,0,3000,3750
138,138,138,9,5,1250,19,0,1,0,1250,837
139,139,139,2,2,500,11,0,0,1,500,280
140,140,140,2,9,2250,74,0,0,1,2250,1417
141,141,141,5,14,3500,86,0,0,0,3500,2415
142,142,142,4,3,750,16,0,1,0,750,427
143,143,143,4,3,750,16,0,1,0,750,1117
144,144,144,4,2,500,9,1,0,1,857,265
145,145,145,4,3,750,16,1,1,0,1216,472
146,146,146,6,3,750,14,0,1,1,750,1020
147,147,147,2,2,500,11,0,1,0,500,645
148,148,148,2,2,500,11,1,0,1,809,385
149,149,149,2,2,500,11,0,0,1,500,695
150,150,150,2,7,1750,58,1,1,0,2001,1032
151,151,151,4,6,1500,39,0,0,1,1500,1800
152,152,152,4,11,2750,78,0,0,1,2750,2007
153,153,153,2,1,250,2,1,0,1,535,172
154,154,154,2,1,250,2,0,1,0,250,320
155,155,155,2,1,250,2,0,0,0,250,200
156,156,156,2,1,250,2,0,1,1,250,305
157,157,157,2,1,250,2,0,1,1,250,130
158,158,158,2,1,250,2,0,0,1,250,355
159,159,159,2,1,250,2,0,0,1,250,310
160,160,160,2,1,250,2,0,1,1,250,327
161,161,161,2,1,250,2,0,1,1,250,357
162,162,162,2,1,250,2,0,0,0,250,170
163,163,163,2,1,250,2,1,1,1,704,172
164,164,164,2,1,250,2,1,0,0,466,370
165,165,165,2,1,250,2,1,1,1,730,350
166,166,166,2,1,250,2,0,0,0,250,312
167,167,167,2,1,250,2,0,1,1,250,307
168,168,168,2,1,250,2,0,1,0,250,132
169,169,169,2,1,250,2,0,1,0,250,182
170,170,170,2,1,250,2,0,0,0,250,190
171,171,171,2,1,250,2,0,1,1,250,362
172,172,172,2,1,250,2,0,1,0,250,332
173,173,173,2,1,250,2,0,1,0,250,192
174,174,174,2,1,250,2,0,1,0,250,347
175,175,175,11,10,2500,35,0,0,1,2500,2000
176,176,176,11,4,1000,16,1,1,0,1325,1470
177,177,177,4,5,1250,33,1,0,1,1695,1612
178,178,178,4,6,1500,41,1,0,0,1869,1995
179,179,179,2,3,750,22,0,0,1,750,525
180,180,180,4,4,1000,26,1,0,0,1416,1320
181,181,181,10,4,1000,16,0,1,1,1000,1310
182,182,182,2,4,1000,35,0,1,1,1000,660
183,183,183,4,12,3000,88,0,0,1,3000,4200
184,184,184,13,8,2000,26,0,0,1,2000,1020
185,185,185,11,9,2250,33,0,1,0,2250,1732
186,186,186,4,5,1250,34,0,0,0,1250,1587
187,187,187,4,4,1000,26,0,1,0,1000,1310
188,188,188,8,15,3750,77,0,1,1,3750,2775
189,189,189,4,5,1250,35,1,0,1,1560,1700
190,190,190,4,7,1750,52,0,1,0,1750,1067
191,191,191,4,7,1750,52,0,1,1,1750,2537
192,192,192,2,4,1000,35,0,1,0,1000,1220
193,193,193,11,11,2750,42,0,1,0,2750,3355
194,194,194,2,2,500,14,0,0,1,500,750
195,195,195,2,5,1250,47,1,1,1,1454,862
196,196,196,9,8,2000,38,1,0,0,2367,1020
197,197,197,4,6,1500,47,0,0,0,1500,765
198,198,198,11,7,1750,29,0,0,1,1750,2502
199,199,199,9,9,2250,45,0,0,0,2250,3262
200,200,200,4,6,1500,52,0,0,1,1500,825
201,201,201,4,7,1750,58,0,0,0,1750,1155
202,202,202,6,2,500,11,1,0,1,943,390
203,203,203,4,7,1750,58,0,1,1,1750,2170
204,204,204,11,9,2250,38,0,0,0,2250,1710
205,205,205,11,6,1500,26,0,1,1,1500,1035
206,206,206,2,2,500,16,0,0,1,500,375
207,207,207,2,7,1750,76,0,1,1,1750,2397
208,208,208,11,6,1500,27,0,1,1,1500,1920
209,209,209,11,3,750,14,0,1,0,750,967
210,210,210,4,1,250,4,0,1,1,250,342
211,211,211,4,1,250,4,0,0,1,250,375
212,212,212,4,1,250,4,0,1,0,250,372
213,213,213,4,1,250,4,0,0,1,250,350
214,214,214,4,1,250,4,0,0,0,250,152
215,215,215,4,1,250,4,1,0,1,491,317
216,216,216,4,1,250,4,0,1,0,250,185
217,217,217,4,1,250,4,0,0,1,250,317
218,218,218,4,1,250,4,0,1,1,250,177
219,219,219,4,1,250,4,0,1,0,250,200
220,220,220,4,1,250,4,0,1,0,250,310
221,221,221,4,1,250,4,1,1,0,636,155
222,222,222,4,1,250,4,1,1,0,620,157
223,223,223,4,1,250,4,0,1,1,250,162
224,224,224,4,1,250,4,1,0,1,700,305
225,225,225,4,1,250,4,1,0,1,589,145
226,226,226,4,1,250,4,0,1,1,250,325
227,227,227,4,3,750,24,0,0,1,750,457
228,228,228,4,1,250,4,0,0,1,250,317
229,229,229,4,1,250,4,0,1,1,250,127
230,230,230,4,1,250,4,0,1,1,250,342
231,231,231,4,1,250,4,1,0,1,552,342
232,232,232,4,1,250,4,0,0,1,250,132
233,233,233,10,8,2000,39,0,1,1,2000,1140
234,234,234,14,7,1750,26,0,0,1,1750,1120
235,235,235,8,10,2500,63,0,1,0,2500,1400
236,236,236,11,3,750,15,0,0,1,750,577
237,237,237,4,2,500,14,0,0,1,500,265
238,238,238,2,4,1000,43,0,0,1,1000,1460
239,239,239,8,9,2250,58,0,0,0,2250,1417
240,240,240,8,8,2000,52,1,1,0,2498,1200
241,241,241,11,22,5500,98,0,1,1,5500,3905
242,242,242,4,3,750,25,1,0,1,1169,525
243,243,243,11,17,4250,79,1,1,0,4660,2507
244,244,244,9,2,500,11,0,1,1,500,750
245,245,245,4,5,1250,46,0,0,0,1250,1875
246,246,246,11,12,3000,58,0,1,0,3000,2310
247,247,247,7,12,3000,86,0,1,1,3000,2160
248,248,248,11,2,500,11,0,0,0,500,285
249,249,249,11,2,500,11,0,1,0,500,620
250,250,250,11,2,500,11,0,1,1,500,650
251,251,251,2,6,1500,75,0,0,1,1500,960
252,252,252,11,8,2000,41,1,0,0,2291,1380
253,253,253,11,3,750,16,1,1,0,1033,1035
254,254,254,12,13,3250,59,0,0,1,3250,4420
255,255,255,2,3,750,35,0,0,0,750,435
256,256,256,16,8,2000,28,0,1,0,2000,1540
257,257,257,11,7,1750,37,0,0,1,1750,2327
258,258,258,4,3,750,28,0,0,1,750,1095
259,259,259,12,12,3000,58,0,0,1,3000,3660
260,260,260,4,4,1000,41,0,1,1,1000,1270
261,261,261,11,14,3500,73,1,0,0,3875,2730
262,262,262,2,2,500,23,0,1,1,500,395
263,263,263,2,3,750,38,1,1,0,1110,397
264,264,264,4,5,1250,58,0,1,1,1250,912
265,265,265,4,4,1000,43,1,0,0,1408,1350
266,266,266,3,2,500,23,0,1,0,500,345
267,267,267,11,8,2000,46,0,0,0,2000,2540
268,268,268,4,7,1750,82,0,0,0,1750,2310
269,269,269,13,4,1000,21,0,1,1,1000,1390
270,270,270,16,11,2750,40,0,1,0,2750,3382
271,271,271,16,7,1750,28,0,0,0,1750,2257
272,272,272,7,2,500,16,0,0,1,500,725
273,273,273,4,5,1250,58,0,0,1,1250,1750
274,274,274,4,5,1250,58,0,1,0,1250,950
275,275,275,4,4,1000,46,0,1,0,1000,800
276,276,276,14,13,3250,57,0,1,1,3250,4062
277,277,277,4,3,750,34,0,1,1,750,1065
278,278,278,14,18,4500,78,0,0,1,4500,6570
279,279,279,11,8,2000,48,0,1,0,2000,2520
280,280,280,14,16,4000,70,0,1,1,4000,2120
281,281,281,14,4,1000,22,1,1,0,1498,650
282,282,282,14,5,1250,26,0,0,1,1250,987
283,283,283,8,2,500,16,0,1,0,500,390
284,284,284,11,5,1250,33,0,0,0,1250,1725
285,285,285,11,2,500,14,0,1,0,500,680
286,286,286,4,2,500,23,0,0,1,500,365
287,287,287,9,2,500,16,1,0,0,712,750
288,288,288,14,5,1250,28,1,1,0,1589,1550
289,289,289,14,3,750,19,1,0,1,996,1027
290,290,290,14,4,1000,23,1,0,0,1392,1280
291,291,291,16,12,3000,50,0,0,1,3000,4380
292,292,292,11,4,1000,28,0,0,0,1000,1290
293,293,293,11,5,1250,35,0,1,1,1250,800
294,294,294,11,5,1250,35,0,1,1,1250,625
295,295,295,2,4,1000,70,0,1,1,1000,740
296,296,296,14,5,1250,28,0,1,0,1250,762
297,297,297,14,2,500,14,0,0,0,500,395
298,298,298,14,2,500,14,0,1,1,500,720
299,299,299,14,2,500,14,0,1,1,500,600
300,300,300,14,2,500,14,0,0,1,500,690
301,301,301,14,2,500,14,0,1,1,500,710
302,302,302,14,2,500,14,0,1,1,500,710
303,303,303,2,3,750,52,0,1,0,750,382
304,304,304,14,6,1500,34,0,0,1,1500,810
305,305,305,11,5,1250,37,1,1,1,1540,1762
306,306,306,4,5,1250,74,0,0,0,1250,1562
307,307,307,11,3,750,23,0,0,0,750,577
308,308,308,16,4,1000,23,0,1,0,1000,1410
309,309,309,16,3,750,19,0,0,0,750,397
310,310,310,11,5,1250,38,0,0,0,1250,975
311,311,311,11,2,500,16,0,0,0,500,740
312,312,312,12,9,2250,60,0,1,0,2250,3307
313,313,313,9,1,250,9,0,0,0,250,190
314,314,314,9,1,250,9,0,1,0,250,372
315,315,315,4,2,500,29,0,1,1,500,615
316,316,316,11,2,500,17,0,0,0,500,315
317,317,317,14,4,1000,26,0,0,0,1000,1320
318,318,318,11,9,2250,72,1,1,0,2477,1395
319,319,319,11,5,1250,41,0,0,0,1250,1725
320,320,320,15,16,4000,82,0,0,1,4000,2240
321,321,321,9,5,1250,51,1,0,0,1592,1625
322,322,322,11,4,1000,34,0,0,1,1000,620
323,323,323,14,8,2000,50,1,0,0,2405,2960
324,324,324,16,7,1750,38,0,1,1,1750,2537
325,325,325,14,2,500,16,0,1,1,500,695
326,326,326,2,2,500,41,0,1,0,500,340
327,327,327,14,16,4000,98,0,0,1,4000,2440
328,328,328,14,4,1000,28,1,0,0,1378,770
329,329,329,16,7,1750,39,0,0,1,1750,875
330,330,330,14,7,1750,47,0,0,0,1750,2415
331,331,331,16,6,1500,35,0,0,0,1500,1920
332,332,332,16,6,1500,35,1,0,0,1905,960
333,333,333,11,7,1750,62,1,1,1,2025,1365
334,334,334,16,2,500,16,0,1,0,500,340
335,335,335,16,3,750,21,1,0,0,1226,427
336,336,336,11,3,750,28,0,0,0,750,510
337,337,337,11,7,1750,64,0,1,1,1750,1067
338,338,338,11,1,250,11,1,1,1,492,132
339,339,339,9,3,750,34,0,1,0,750,922
340,340,340,14,4,1000,30,0,0,0,1000,1340
341,341,341,23,38,9500,98,0,1,0,9500,6175
342,342,342,11,6,1500,58,0,0,1,1500,1875
343,343,343,11,1,250,11,0,0,1,250,140
344,344,344,11,1,250,11,0,0,1,250,372
345,345,345,11,1,250,11,0,0,1,250,127
346,346,346,11,1,250,11,0,0,0,250,330
347,347,347,11,1,250,11,0,0,0,250,322
348,348,348,11,1,250,11,0,1,0,250,185
349,349,349,11,1,250,11,0,0,1,250,172
350,350,350,11,1,250,11,0,0,1,250,370
351,351,351,11,2,500,21,0,0,1,500,390
352,352,352,11,5,1250,50,0,1,0,1250,687
353,353,353,11,2,500,21,0,1,0,500,700
354,354,354,16,4,1000,28,0,1,1,1000,610
355,355,355,4,2,500,41,0,1,1,500,650
356,356,356,16,6,1500,40,0,1,1,1500,1905
357,357,357,14,3,750,26,0,0,0,750,382
358,358,358,9,2,500,26,0,1,0,500,720
359,359,359,21,16,4000,64,0,1,0,4000,3040
360,360,360,14,6,1500,51,0,1,1,1500,855
361,361,361,11,2,500,24,0,1,1,500,315
362,362,362,4,3,750,71,0,1,1,750,922
363,363,363,21,13,3250,57,0,1,1,3250,2210
364,364,364,11,6,1500,71,0,1,1,1500,870
365,365,365,14,2,500,21,1,1,1,905,270
366,366,366,23,15,3750,57,0,1,0,3750,5550
367,367,367,14,4,1000,38,0,1,1,1000,1350
368,368,368,11,2,500,26,0,1,0,500,610
369,369,369,16,5,1250,40,1,0,1,1525,1662
370,370,370,4,2,500,51,1,1,0,729,375
371,371,371,14,3,750,31,0,0,0,750,915
372,372,372,4,2,500,52,0,1,0,500,635
