,Unnamed: 0,Unnamed: 0.1,Recency (months),Frequency (times),Monetary (c.c. blood),Time (months),whether he/she donated blood in March 2007,whether he/she donated blood in March 2008,whether he/she donated blood in March 2009,Monetary after March 2007 (c.c. blood),Monetary in branch 2 (c.c. blood)
373,373,373,9,4,1000,65,0,1,0,1000,1340
374,374,374,14,4,1000,40,0,1,1,1000,1450
375,375,375,11,3,750,40,1,0,0,1067,457
376,376,376,14,5,1250,50,0,1,0,1250,825
377,377,377,14,1,250,14,0,0,0,250,355
378,378,378,14,1,250,14,0,1,0,250,300
379,379,379,14,1,250,14,0,1,0,250,335
380,380,380,14,1,250,14,0,1,1,250,172
381,381,381,14,1,250,14,0,0,0,250,350
382,382,382,14,1,250,14,0,1,0,250,145
383,383,383,14,1,250,14,0,0,1,250,132
384,384,384,14,1,250,14,0,0,1,250,147
385,385,385,14,7,1750,72,0,0,1,1750,2397
386,386,386,14,1,250,14,0,1,0,250,302
387,387,387,14,1,250,14,0,1,1,250,330
388,388,388,9,3,750,52,0,1,0,750,420
389,389,389,14,7,1750,73,0,1,0,1750,2485
390,390,390,11,4,1000,58,0,0,1,1000,1500
391,391,391,11,4,1000,59,0,0,0,1000,1220
392,392,392,4,2,500,59,0,1,0,500,290
393,393,393,11,4,1000,61,0,1,0,1000,660
394,394,394,16,4,1000,40,0,1,0,1000,610
395,395,395,16,10,2500,89,0,0,0,2500,1625
396,396,396,21,2,500,21,1,1,0,941,610
397,397,397,21,3,750,26,0,1,1,750,952
398,398,398,16,8,2000,76,0,0,0,2000,1500
399,399,399,21,3,750,26,1,1,0,1026,435
400,400,400,18,2,500,23,0,0,1,500,265
401,401,401,23,5,1250,33,0,0,1,1250,1862
402,402,402,23,8,2000,46,0,1,1,2000,2560
403,403,403,16,3,750,34,0,0,0,750,412
404,404,404,14,5,1250,64,0,0,1,1250,787
405,405,405,14,3,750,41,0,0,1,750,390
406,406,406,16,1,250,16,0,1,1,250,347
407,407,407,16,1,250,16,0,0,1,250,150
408,408,408,16,1,250,16,0,0,1,250,125
409,409,409,16,1,250,16,0,1,1,250,132
410,410,410,16,1,250,16,0,0,0,250,177
411,411,411,16,1,250,16,0,1,1,250,145
412,412,412,16,1,250,16,0,1,1,250,167
413,413,413,16,4,1000,45,0,0,0,1000,630
414,414,414,16,1,250,16,0,0,1,250,147
415,415,415,16,1,250,16,0,1,1,250,365
416,416,416,16,1,250,16,0,1,1,250,195
417,417,417,16,1,250,16,0,1,1,250,330
418,418,418,16,1,250,16,0,0,1,250,360
419,419,419,16,2,500,26,0,1,0,500,740
420,420,420,21,2,500,23,0,0,1,500,710
421,421,421,16,2,500,27,0,0,0,500,265
422,422,422,21,2,500,23,0,0,1,500,665
423,423,423,21,2,500,23,0,1,0,500,705
424,424,424,14,4,1000,57,0,0,0,1000,650
425,425,425,16,5,1250,60,0,1,1,1250,750
426,426,426,23,2,500,23,0,0,0,500,360
427,427,427,14,5,1250,74,0,0,0,1250,1537
428,428,428,23,3,750,28,0,0,1,750,577
429,429,429,16,3,750,40,0,1,1,750,600
430,430,430,9,2,500,52,0,0,1,500,325
431,431,431,9,2,500,52,0,0,1,500,615
432,432,432,16,7,1750,87,1,0,0,2135,1207
433,433,433,14,4,1000,64,0,0,1,1000,1350
434,434,434,14,2,500,35,0,0,1,500,675
435,435,435,16,7,1750,93,0,1,0,1750,2380
436,436,436,21,2,500,25,0,1,1,500,685
437,437,437,14,3,750,52,0,0,0,750,1042
438,438,438,23,14,3500,93,0,1,1,3500,4655
439,439,439,18,8,2000,95,0,1,1,2000,2400
440,440,440,16,3,750,46,0,1,0,750,562
441,441,441,11,3,750,76,0,0,0,750,1042
442,442,442,11,2,500,52,0,0,0,500,260
443,443,443,11,3,750,76,0,0,0,750,570
444,444,444,23,12,3000,86,0,0,1,3000,1680
445,445,445,21,3,750,35,0,1,1,750,1117
446,446,446,23,2,500,26,0,0,0,500,650
447,447,447,23,2,500,26,0,0,1,500,290
448,448,448,23,8,2000,64,0,1,1,2000,1360
449,449,449,16,3,750,50,0,0,1,750,457
450,450,450,23,3,750,33,0,1,0,750,1095
451,451,451,21,3,750,38,0,1,0,750,1095
452,452,452,23,2,500,28,0,0,0,500,280
453,453,453,21,1,250,21,0,0,1,250,190
454,454,454,21,1,250,21,0,0,1,250,337
455,455,455,21,1,250,21,0,1,0,250,342
456,456,456,21,1,250,21,0,0,1,250,132
457,457,457,21,1,250,21,0,1,0,250,345
458,458,458,21,1,250,21,0,1,1,250,312
459,459,459,21,1,250,21,0,0,1,250,157
460,460,460,21,1,250,21,0,1,1,250,302
461,461,461,21,1,250,21,0,0,0,250,305
462,462,462,21,1,250,21,1,1,1,742,337
463,463,463,21,1,250,21,0,1,1,250,340
464,464,464,21,1,250,21,0,0,0,250,320
465,465,465,21,5,1250,60,0,1,0,1250,700
466,466,466,23,4,1000,45,0,0,1,1000,580
467,467,467,21,4,1000,52,0,1,0,1000,1250
468,468,468,22,1,250,22,1,0,0,749,347
469,469,469,11,2,500,70,0,0,1,500,670
470,470,470,23,5,1250,58,0,0,1,1250,1737
471,471,471,23,3,750,40,0,1,1,750,1117
472,472,472,23,3,750,41,0,0,1,750,1042
473,473,473,14,3,750,83,0,0,1,750,967
474,474,474,21,2,500,35,0,0,1,500,665
475,475,475,26,5,1250,49,1,1,1,1673,1737
476,476,476,23,6,1500,70,0,1,1,1500,2100
477,477,477,23,1,250,23,0,0,1,250,310
478,478,478,23,1,250,23,0,0,0,250,195
479,479,479,23,1,250,23,0,0,1,250,142
480,480,480,23,1,250,23,0,0,0,250,155
481,481,481,23,1,250,23,0,0,0,250,362
482,482,482,23,1,250,23,0,1,1,250,330
483,483,483,23,1,250,23,0,1,1,250,325
484,484,484,23,1,250,23,0,0,1,250,130
485,485,485,23,4,1000,53,0,1,1,1000,1290
486,486,486,21,6,1500,86,0,0,0,1500,840
487,487,487,23,3,750,48,0,0,0,750,532
488,488,488,21,2,500,41,0,1,0,500,275
489,489,489,21,3,750,64,0,1,0,750,975
490,490,490,16,2,500,70,0,1,1,500,640
491,491,491,21,3,750,70,0,1,1,750,390
492,492,492,23,4,1000,87,0,0,0,1000,1250
493,493,493,23,3,750,89,0,1,0,750,517
494,494,494,23,2,500,87,0,1,0,500,335
495,495,495,35,3,750,64,0,0,1,750,382
496,496,496,38,1,250,38,0,1,0,250,332
497,497,497,38,1,250,38,0,0,1,250,130
498,498,498,40,1,250,40,0,0,1,250,355
499,499,499,74,1,250,74,0,0,0,250,360
500,500,500,2,43,10750,86,1,1,0,11065,8170
501,501,501,6,22,5500,28,1,0,1,5902,4235
502,502,502,2,34,8500,77,1,0,1,8793,11815
503,503,503,2,44,11000,98,0,0,0,11000,7040
504,504,504,0,26,6500,76,1,1,1,6787,4160
505,505,505,2,41,10250,98,1,0,1,10684,14555
506,506,506,3,21,5250,42,1,0,0,5657,2782
507,507,507,2,11,2750,23,0,0,1,2750,1622
508,508,508,2,21,5250,52,1,0,0,5602,7035
509,509,509,2,13,3250,32,1,0,1,3602,2242
510,510,510,4,4,1000,4,1,0,0,1345,760
511,511,511,2,11,2750,26,0,0,1,2750,4097
512,512,512,2,11,2750,28,0,1,1,2750,3630
513,513,513,3,14,3500,35,0,0,1,3500,2660
514,514,514,4,16,4000,38,1,1,0,4375,5880
515,515,515,4,6,1500,14,0,0,1,1500,1890
516,516,516,3,5,1250,12,1,0,0,1488,912
517,517,517,4,33,8250,98,1,1,1,8572,11550
518,518,518,3,10,2500,33,1,0,1,2889,3275
519,519,519,4,10,2500,28,1,0,1,2931,1300
520,520,520,2,11,2750,40,1,1,0,3034,4042
521,521,521,2,11,2750,41,1,1,1,2957,3685
522,522,522,4,13,3250,39,1,1,0,3488,4290
523,523,523,1,10,2500,43,1,0,0,2893,3250
524,524,524,4,9,2250,28,0,0,1,2250,1732
525,525,525,2,4,1000,11,0,0,0,1000,750
526,526,526,2,5,1250,16,1,0,0,1627,850
527,527,527,2,15,3750,64,0,0,0,3750,5175
528,528,528,5,24,6000,79,0,0,0,6000,7980
529,529,529,2,6,1500,22,1,0,0,1753,840
530,530,530,4,5,1250,16,1,0,0,1585,925
531,531,531,2,4,1000,14,1,0,1,1236,1270
532,532,532,4,8,2000,28,0,1,1,2000,1460
533,533,533,2,4,1000,14,0,1,1,1000,700
534,534,534,2,6,1500,26,0,0,0,1500,1155
535,535,535,4,5,1250,16,1,0,1,1626,1750
536,536,536,2,7,1750,32,1,0,0,2226,2187
537,537,537,2,6,1500,26,1,0,0,1879,945
538,538,538,2,8,2000,38,1,1,1,2496,1500
539,539,539,2,2,500,4,1,1,1,774,305
540,540,540,2,6,1500,28,1,1,1,1737,2205
541,541,541,2,10,2500,52,0,0,1,2500,3375
542,542,542,4,16,4000,70,1,0,1,4329,3200
543,543,543,4,2,500,4,1,1,1,824,695
544,544,544,1,14,3500,95,0,1,1,3500,1960
545,545,545,4,2,500,4,1,0,1,883,295
546,546,546,7,14,3500,48,0,1,0,3500,4795
547,547,547,2,3,750,11,0,0,1,750,510
548,548,548,2,12,3000,70,1,1,1,3347,4260
549,549,549,4,7,1750,32,1,0,0,2125,2327
550,550,550,4,4,1000,16,0,0,1,1000,1200
551,551,551,2,6,1500,35,1,1,0,1962,1125
552,552,552,4,6,1500,28,1,0,0,1954,2220
553,553,553,2,3,750,14,0,0,1,750,1012
554,554,554,2,4,1000,23,0,1,1,1000,730
555,555,555,4,4,1000,18,0,1,0,1000,1250
556,556,556,5,6,1500,28,0,0,1,1500,885
557,557,557,4,6,1500,30,0,1,0,1500,840
558,558,558,14,5,1250,14,0,0,1,1250,1687
559,559,559,3,8,2000,50,0,0,1,2000,1380
560,560,560,4,11,2750,64,1,0,0,3027,3630
561,561,561,4,9,2250,52,0,0,1,2250,3150
562,562,562,4,16,4000,98,1,0,1,4242,2160
563,563,563,7,10,2500,47,0,0,0,2500,3400
564,564,564,4,14,3500,86,0,1,1,3500,1995
565,565,565,2,9,2250,75,0,1,0,2250,1710
566,566,566,4,6,1500,35,0,0,0,1500,1005
567,567,567,4,9,2250,55,0,0,0,2250,2880
568,568,568,4,6,1500,35,1,1,1,1808,1110
569,569,569,2,6,1500,45,0,1,0,1500,960
570,570,570,2,6,1500,47,0,0,0,1500,2160
571,571,571,4,2,500,9,0,1,1,500,615
572,572,572,2,2,500,11,1,0,0,856,275
573,573,573,2,2,500,11,0,0,0,500,645
574,574,574,2,2,500,11,1,1,0,720,345
575,575,575,4,6,1500,38,1,0,1,1873,1155
576,576,576,3,4,1000,29,1,0,0,1405,1470
577,577,577,9,9,2250,38,0,1,0,2250,1800
578,578,578,11,5,1250,18,0,1,1,1250,912
579,579,579,2,3,750,21,0,1,1,750,465
580,580,580,2,1,250,2,0,0,0,250,130
581,581,581,2,1,250,2,1,0,1,513,132
582,582,582,2,1,250,2,0,1,0,250,167
583,583,583,2,1,250,2,0,1,1,250,350
584,584,584,2,1,250,2,0,0,0,250,340
585,585,585,2,1,250,2,0,1,0,250,147
586,586,586,2,1,250,2,1,0,0,512,200
587,587,587,2,1,250,2,0,1,1,250,160
588,588,588,2,1,250,2,0,0,1,250,302
589,589,589,2,1,250,2,0,1,0,250,165
590,590,590,2,1,250,2,0,0,0,250,310
591,591,591,11,11,2750,38,0,0,1,2750,1870
592,592,592,2,3,750,22,0,1,0,750,1087
593,593,593,9,11,2750,49,1,0,0,3221,4125
594,594,594,5,11,2750,75,0,1,0,2750,3410
595,595,595,3,5,1250,38,0,1,0,1250,825
596,596,596,3,1,250,3,1,0,0,457,360
597,597,597,4,6,1500,43,0,1,1,1500,2235
598,598,598,2,3,750,24,0,1,0,750,547
599,599,599,12,11,2750,39,0,0,0,2750,3657
600,600,600,2,2,500,14,0,1,0,500,390
601,601,601,4,6,1500,46,0,1,0,1500,825
602,602,602,9,3,750,14,0,1,0,750,487
603,603,603,14,8,2000,26,0,1,1,2000,2700
604,604,604,4,2,500,13,0,1,1,500,250
605,605,605,4,11,2750,95,0,1,1,2750,3355
606,606,606,2,7,1750,77,0,0,0,1750,1050
607,607,607,2,7,1750,77,0,1,1,1750,1085
608,608,608,4,1,250,4,0,0,0,250,305
609,609,609,4,1,250,4,0,1,0,250,327
610,610,610,4,1,250,4,0,0,1,250,372
611,611,611,4,1,250,4,0,0,0,250,162
612,612,612,4,1,250,4,1,1,0,603,165
613,613,613,4,1,250,4,0,0,0,250,200
614,614,614,4,1,250,4,0,1,1,250,152
615,615,615,4,1,250,4,0,0,0,250,147
616,616,616,4,1,250,4,0,1,1,250,307
617,617,617,4,1,250,4,0,1,1,250,140
618,618,618,4,1,250,4,1,0,1,502,332
619,619,619,4,1,250,4,0,0,1,250,375
620,620,620,4,7,1750,62,0,1,1,1750,892
621,621,621,4,1,250,4,0,1,1,250,345
622,622,622,4,4,1000,34,1,0,1,1367,1200
623,623,623,11,6,1500,28,0,1,0,1500,2220
624,624,624,13,3,750,14,1,0,1,1163,600
625,625,625,7,5,1250,35,0,0,0,1250,850
626,626,626,9,9,2250,54,0,0,1,2250,2812
627,627,627,11,2,500,11,0,0,1,500,395
628,628,628,2,5,1250,63,0,0,1,1250,987
629,629,629,7,11,2750,89,0,0,1,2750,1677
630,630,630,8,9,2250,64,0,0,1,2250,3150
631,631,631,2,2,500,22,0,1,1,500,750
632,632,632,6,3,750,26,0,0,0,750,465
633,633,633,12,15,3750,71,0,1,1,3750,2400
634,634,634,13,3,750,16,0,1,1,750,960
635,635,635,11,16,4000,89,0,1,1,4000,3040
636,636,636,4,5,1250,58,0,0,0,1250,1762
637,637,637,14,7,1750,35,0,1,1,1750,1172
638,638,638,11,4,1000,27,0,0,0,1000,690
639,639,639,7,9,2250,89,1,1,0,2531,2992
640,640,640,11,8,2000,52,1,0,1,2423,1140
641,641,641,7,5,1250,52,0,0,0,1250,837
642,642,642,11,6,1500,41,0,1,0,1500,930
643,643,643,10,5,1250,38,0,1,1,1250,1625
644,644,644,14,2,500,14,1,0,1,740,390
645,645,645,14,2,500,14,0,1,0,500,360
646,646,646,14,2,500,14,0,1,1,500,725
647,647,647,2,2,500,33,0,0,0,500,370
648,648,648,11,3,750,23,0,1,1,750,960
649,649,649,14,8,2000,46,0,1,1,2000,2800
650,650,650,9,1,250,9,0,1,0,250,155
651,651,651,16,5,1250,27,0,1,1,1250,1712
652,652,652,14,4,1000,26,0,0,0,1000,520
653,653,653,4,2,500,30,0,1,0,500,675
654,654,654,14,3,750,21,0,1,1,750,915
655,655,655,16,16,4000,77,0,1,0,4000,2920
656,656,656,4,2,500,31,0,0,0,500,650
657,657,657,14,8,2000,50,0,1,0,2000,2520
658,658,658,11,3,750,26,0,0,0,750,1057
659,659,659,14,7,1750,45,0,0,0,1750,2275
660,660,660,15,5,1250,33,0,0,0,1250,1862
661,661,661,16,2,500,16,0,1,0,500,620
662,662,662,16,3,750,21,0,0,0,750,457
663,663,663,11,8,2000,72,0,1,1,2000,1600
664,664,664,11,1,250,11,0,1,0,250,342
665,665,665,11,1,250,11,0,0,1,250,367
666,666,666,11,1,250,11,0,0,0,250,312
667,667,667,11,1,250,11,1,1,0,541,322
668,668,668,11,1,250,11,0,1,0,250,155
669,669,669,2,3,750,75,1,1,1,966,420
670,670,670,2,3,750,77,0,0,1,750,570
671,671,671,16,4,1000,28,0,1,0,1000,1460
672,672,672,16,15,3750,87,0,0,0,3750,4500
673,673,673,16,14,3500,83,0,1,1,3500,2065
674,674,674,16,10,2500,62,0,1,0,2500,3300
675,675,675,16,3,750,23,0,0,1,750,922
676,676,676,14,3,750,26,0,1,0,750,1027
677,677,677,23,19,4750,62,0,1,1,4750,3752
678,678,678,11,7,1750,75,0,0,1,1750,910
679,679,679,14,3,750,28,0,0,1,750,1005
680,680,680,20,14,3500,69,1,1,1,3877,2275
681,681,681,4,2,500,46,0,0,0,500,725
682,682,682,11,2,500,25,0,1,0,500,370
683,683,683,11,3,750,37,0,0,0,750,480
684,684,684,16,4,1000,33,0,1,0,1000,570
685,685,685,21,7,1750,38,0,0,1,1750,2187
686,686,686,13,7,1750,76,0,0,1,1750,2450
687,687,687,16,6,1500,50,0,1,1,1500,1905
688,688,688,14,3,750,33,0,0,0,750,525
689,689,689,14,1,250,14,0,0,1,250,317
690,690,690,14,1,250,14,0,1,1,250,307
691,691,691,14,1,250,14,0,0,1,250,312
692,692,692,14,1,250,14,0,0,1,250,197
693,693,693,14,1,250,14,0,0,0,250,302
694,694,694,14,1,250,14,0,0,0,250,135
695,695,695,17,7,1750,58,1,0,0,2243,927
696,696,696,14,3,750,35,0,1,1,750,577
697,697,697,14,3,750,35,0,1,0,750,1095
698,698,698,16,7,1750,64,0,1,0,1750,2292
699,699,699,21,2,500,21,0,1,1,500,350
700,700,700,16,3,750,35,0,0,0,750,960
701,701,701,16,1,250,16,0,1,1,250,350
702,702,702,16,1,250,16,0,1,1,250,342
703,703,703,16,1,250,16,0,0,0,250,182
704,704,704,16,1,250,16,0,0,1,250,172
705,705,705,16,1,250,16,0,0,1,250,347
706,706,706,14,2,500,29,0,1,0,500,310
707,707,707,11,4,1000,74,0,1,1,1000,560
708,708,708,11,2,500,38,1,0,1,757,295
709,709,709,21,6,1500,48,0,1,1,1500,1950
710,710,710,23,2,500,23,0,0,1,500,705
711,711,711,23,6,1500,45,0,0,1,1500,1800
712,712,712,14,2,500,35,1,0,1,920,635
713,713,713,16,6,1500,81,0,0,0,1500,1965
714,714,714,16,4,1000,58,0,0,0,1000,1250
715,715,715,16,5,1250,71,0,0,0,1250,925
716,716,716,21,2,500,26,0,0,0,500,315
717,717,717,21,3,750,35,0,0,1,750,547
718,718,718,21,3,750,35,0,1,0,750,1012
719,719,719,23,8,2000,69,0,1,1,2000,1440
720,720,720,21,3,750,38,0,1,1,750,1102
721,721,721,23,3,750,35,0,1,0,750,1080
722,722,722,21,3,750,40,0,0,1,750,1087
723,723,723,23,2,500,28,0,1,0,500,665
724,724,724,21,1,250,21,0,0,1,250,350
725,725,725,21,1,250,21,0,0,0,250,362
726,726,726,25,6,1500,50,0,1,0,1500,1920
727,727,727,21,1,250,21,0,1,0,250,195
728,728,728,21,1,250,21,0,1,0,250,137
729,729,729,23,3,750,39,0,0,1,750,900
730,730,730,21,2,500,33,0,0,1,500,720
731,731,731,14,3,750,79,0,1,0,750,390
732,732,732,23,1,250,23,1,0,0,585,307
733,733,733,23,1,250,23,0,0,1,250,177
734,734,734,23,1,250,23,0,0,1,250,200
735,735,735,23,1,250,23,0,0,1,250,150
736,736,736,23,1,250,23,0,1,0,250,325
737,737,737,23,1,250,23,0,0,0,250,155
738,738,738,23,1,250,23,0,1,0,250,145
739,739,739,23,4,1000,52,0,1,0,1000,1340
740,740,740,23,1,250,23,0,1,1,250,332
741,741,741,23,7,1750,88,0,0,0,1750,1347
742,742,742,16,3,750,86,0,0,0,750,967
743,743,743,23,2,500,38,0,0,1,500,650
744,744,744,21,2,500,52,0,1,1,500,615
745,745,745,23,3,750,62,0,0,1,750,1035
746,746,746,39,1,250,39,0,0,1,250,192
747,747,747,72,1,250,72,0,1,0,250,355
